Domain,Comment
076.moe,
076.ne.jp,
101010.pl,
10minutepleroma.com,
13bells.com,
1611.social,
434.earth,
4aem.com,
5dollah.click,
80percent.social,
8777.ch,
a.sc,
acg.mn,
activism.openworlds.info,
activitypub-proxy.cf,
activitypub-troll.cf,
adachi.party,
addy.gg,
aethy.com,
agdersam.no,
ai.wiki,
akko.disqordia.space,
alteregocreations.com,
ancreport.com,
ancreport.xyz,
anemoneya.me,
angrytoday.com,
animesexual.community,
annihilation.social,
anon-kenkai.com,
anthro.cc,
arachnid.town,
asbestos.cafe,
asimon.org,
asphodel.rip,
asteroidm.space,
babyfurs.social,
badly.co,
bae.st,
banepo.st,
baraag.net,
bassam.social,
beefyboys.club,
beefyboys.win,
beehaw.org,
beehub.org,
beepboop.ga,
berserker.town,
bgme.me,
bgzashtita.es,
bibly.com,
bikeshed.party,
bird.makeup,
birds.garden,
bitcoinlizard.net,
bitcointv.com,
blackqueer.life,
blockedur.mom,
boks.moe,
boop.juke.fr,Mutual block/no response.
boymoder.biz,
brainsoap.net,
breastmilk.club,
brighteon.social,
bruh.homd.xyz,
bungle.online,
burger.rodeo,
cachapa.moe,
cachapa.xyz,
calobar.club,
campaign.openworlds.info,
campduffel.social,
carnivore.social,
catgirl.life,
cawfee.club,
childpawn.shop,
chudbuds.lol,
cijber.social,Mutual block/no response.
ckpg.space,
clew.lol,
clubcyberia.co,
collapsitarian.io,
comfyboy.club,
commons.whatiwanttoknow.org,
contrapointsfan.club,
coolsite.win,
crlf.ninja,
crucible.world,
cryptodon.lol,
cryptotooter.com,
cum.camp,
cum.salon,
cx.cx,
cyberretards.xyz,
cyberstorm.one,
d-fens.systems,
danksquad.org,
daspr.io,
decayable.ink,
declin.eu,
dembased.xyz,
detroitriotcity.com,
dev-wiki.de,
dickkickextremist.xyz,
dingdash.com,
disqordia.space,
dissident.business,
dixies.land,
djsumdog.com,
docs.kazar.ma,
dragonpsi.xyz,
drow.be,
dtzbts.xyz,
du.capricom.info,
eatthebugs.social,
ebin.club,
eientei.org,
endtimebelievers.com,
enjoyer.network,
epenguin.com,
epsilon.social,
eveningzoo.club,
faggot.zone,
fairy.id,
fbxl.net,
federated.fun,
fedi.seriousbusiness.international,
fediverse.dotnet00.dev,
fedposters.club,
femboys.love,
feral.cafe,
fightthis.net,
firedragonstudios.com,
firefaithfellowship.com,
firefish.sideslip.social,Mutual block/no response.
fluf.club,
fluffytail.gay,
fluffytail.org,
fr13nd5.com,
freak.university,
freeatlantis.com,
freecumextremist.com,
freesoftwareextremist.com,
freespeech.club,
freespeech.group,
freespeech.host,
freespeechextremist.com,
freetalklive.com,
freethinkers.lgbt,
freezepeach.xyz,
frennet.xyz,
friends.ravergram.club,
froth.zone,
fyrfli.social,
gab.ai,
gab.com,
gabe.rocks,
gabfed.com,
gameliberty.club,
gamers.exposed,
gangstalking.services,
gasthe.lgbt,
gearlandia.haus,
geddit.social,
genderheretics.xyz,
gensokyo.club,
gentoo.live,
geofront.rocks,
ghetti.monster,
gleasonator.com,
glee.li,
glindr.org,
glowers.club,
goreslut.xyz,
gorf.pub,
goyim.app,
grim.social,
gts.fyrfli.social,
guizzyordi.info,
h5q.net,
haeder.net,
hallsofamenti.io,
handholding.io,
handicapped.tk,
hedgehoghunter.club,
helladoge.com,
hendrixgames.com,
hentai.baby,
hermitmountain.top,
hidamari.apartments,
hitchhiker.social,
homd.xyz,
honkwerx.tech,
horny.enby.space,
hornyjail.pro,
husk.site,
iamterminally.online,
icosahedron.website,Mutual block/no response.
iddqd.social,
ieji.de,
ignorelist.com,
imastodon.org,
imirhil.fr,
inferencium.net,
inkommit.com,
intkos.link,
inumbra.xyz,
ironbug.org,
justbros.xyz,
kabuki.club,
kafeneio.social,
kawa-kun.com,
kawen.space,
kenhbit.com,
kitsunemimi.club,
kiwifarms.cc,
kiwifarms.is,
kiwifarms.net,
kompost.cz,
kurosawa.moe,
kyaruc.moe,
kys.moe,
lab.nyanide.com,
lain.gay,
lain.sh,
leafposter.club,
lemm.ee,
lemmy.blahaj.zone,
lemmy.world,
lemmynsfw.com,
letsalllovela.in,
lewdieheaven.com,
liberdon.com,
librem.one,
librenet.co.za,
ligma.pro,
lizards.live,
logografos.com,
lol.lamp.wtf,
lolicon.rocks,
lolicon.win,
lolison.network,
lolison.top,
longyap.name.my,
loveforlandlords.com,
lovingexpressions.net,
lpfm.social,
lucasvl.nl,
m-i.im,
m.noxie.ch,Mutual block/no response.
mahodou.moe,
makemysarcophagus.com,
maladaptive.art,
mapsupport.de,
marsey.club,
marsey.moe,
masochi.st,
mastertibbles.co.uk,
masthead.social,
mastinator.com,
mastodeb11movsl.ddns.net,
mastodon.adtension.com,
mastodon.aguiarvieira.pt,
mastodon.ai8w.ddns.net,
mastodon.art,
mastodon.cf,
mastodon.cloud,
mastodon.eltrincagoti.ynh.fr,
mastodon.hongkongers.net,
mastodon.iftas.org,
mastodon.ktachibana.party,
mastodon.la,
mastodon.lolicon.win,
mastodon.mikmak.cc,
mastodon.redplanetlabs.com,
mastodon.se,
mastodon.staycuriousandkeepsmil.in,
mastodonapp.uk,Do not replicate.
mastodong.lol,
mastodontist.social,
me.ns.ci,
meld.de,
meme.moe,
merovingian.club,
midnightride.rs,
midwaytrades.com,
miki.live4you.one,
miku-enthusiast.club,
milker.cafe,
minds.com,
mirr0r.city,
miruku.cafe,
misinformation.wikileaks2.org,
misono-ya.info,
misskey-forkbomb.cf,
misskey.cf,
misskey.io,
mitra.social,
moa.st,
moar.cachapa.xyz,
monads.online,
mooo.com,
morale.ch,
mostr.pub,
mouse.services,
mrhands.horse,
mstdn.bronyfurry.com,
mstdn.jp,
mugicha.club,
mulmeyun.church,
nalocal519.social,
name.my,
narrativerry.xyz,
natehiggers.online,
nazi.social,
neckbeard.xyz,
needs.vodka,
neenster.org,
nekocave.xyz,
neomobius.com,
newsbots.californialocal.com,
ngmx.com,Mutual block/no response.
nicecrew.digital,
nightshift.social,
niscii.xyz,
nixnet.social,
nnia.space,
noagendasocial.com,
noagendasocial.nl,
noagendatube.com,
nobodyhasthe.biz,
normie.cafe,
norwoodzero.net,
novoa.nagoya,
ntfy.sh,
nya.gay,
nyanide.com,
obo.sh,
occultist.space,
odd.town,
oliphant.social,
onionfarms.org,
ortodogs.info,
otakufarms.com,
oti.st,
outerkosm.us,
outpoa.st,
pari.cafe,
pawlicker.com,
pawoo.net,
paypig.org,
pedo.school,
peervideo.club,
pettanko.art,
piazza.today,
pibvt.net,
pieville.net,
pirateradio.social,
pisskey.io,
pizzaf.art,
pkteerium.xyz,
pl.kitsunemimi.club,
plagu.ee,
pleroma.adachi.party,
pleroma.narrativerry.xyz,
pleroma.nobodyhasthe.biz,
pleroma.payfrit.com,
pleroma.pibvt.net,
pmth.us,
poa.st,
poast.org,
poast.tv,
pokemon.men,
polaris-1.work,
pone.social,
pooper.social,
poridge.club,
posix.gay,
post.ebin.club,
poster.place,
posting.lolicon.rocks,
poweredbycocaine.com,
praise.udongein.xyz,
pravda.me,
press.coop,
preteengirls.biz,
princess.cat,
privex.social,
prospeech.space,
pseudo-whiskey.bar,
psion.co,
pube.tk,
quanta.wiki,
quodverum.com,
r18.social,
raccoon.quest,
rage.lol,
rage.love,
rakket.app,
rapefeminists.network,
rapemeat.express,
rapemeat.solutions,
rayci.st,
rcsocial.net,
rdrama.cc,
rebelbase.site,
redplanetlabs.com,
refusal.biz,
refusal.llc,
repl.co,
republic.red,
rkgk.moe,
rojogato.com,
rot.gives,
roysbeer.place,
ruinouspowe.rs,
ryona.agency,
s.yelvington.com,
sad.cab,
sakh.social,
satoshishop.de,
saynoto.lgbt,
schwartzwelt.xyz,
scots.network,
seal.cafe,
shadowsocial.org,
sharivegas.com,
shaw.app,
sheep.network,
shigusegubu.club,
shitpost.cloud,
shitpost.poridge.club,
shitposter.club,
shortstackran.ch,
shortstacksran.ch,
shota.house,
shota.social,
shotatube.xyz,
shpposter.club,
shrimpcam.pw,
shrimpposter.club,
silliness.observer,
simcha.gay,Mutual block/no response.
simcha.lgbt,Mutual block/no response.
simcha.pics,
skinheads.eu,
skinheads.io,
skinheads.social,
skinheads.uk,
skinnyver.se,
skippers-bin.com,
skyshanty.xyz,
slash.cl,
sleepy.cafe,
sm.shaw.app,
smuglo.li,
sneak.berlin,
sneed.social,
social.daspr.io,
social.immibis.com,
social.singing.dog,
social.tulsa.ok.us,
social.zeroplex.tw,
sonichu.com,
soykaf.com,
spanner.works,
sperg.city,
spinster.xyz,
springbo.cc,
squid.kids,
starnix.network,
stereophonic.space,
strangeobject.space,
strelizia.net,
syspxl.xyz,
takesama.com,
tastingtraffic.net,
tea.codes,
teci.world,
tenforward.social,
terrible.place,
the.usualsuspects.lol,
theapex.social,
thebag.social,
thechad.zone,
thechimp.zone,
thenobody.club,
thepostearthdestination.com,
theres.life,
thisisjoes.site,
thoughtful.social,
threads.net,
tkammer.de,
toot.foundation,
toot.fsimonetti.info,
toot.vinzant.me,
toots.hwl.li,Do not replicate.
touha.me,
traboone.com,
troll.cafe,
trumpislovetrumpis.life,
truthsocial.co.in,
truthsocial.com,
twi.social,
tyil.nl,
ua-fediland.de,
ubiqueros.com,
unbound.social,
unfufadoo.net,
unperson.us,
unsafe.space,
urchan.org,
ursal.zone,
urspringer.de,
usualsuspects.lol,
uwu.social,
varishangout.net,
vfpmedia.com,
vladtepesblog.com,
vrij.social,
vtuberfan.social,
waifuism.life,
weeaboo.space,
weedis.life,
weirder.earth,Mutual block/no response.
wetfish.space,
whinge.house,
whinge.town,
whitewomen.dog,
wideboys.org,
wikileaks2.org,
wolfgirl.bar,
workers.dev,
writehere.is,
writeout.ink,
wurm.host,
wxw.moe,
x0f.org,
xhais.love,
xmrposter.club,
xn--p1abe3d.xn--80asehdb,
xn-6r8h.tk,
yggdrasil.social,
yorishiro.space,
youjo.love,
zztails.gay,